Datetime,PM2.5_µg/m³_combustion_particles_organic_compounds_metals_sensor,PM2.5_µg/m³_council
2024-08-15 15:00:00,4.483333333333333,4.8
2024-08-15 16:00:00,4.766666666666667,3.8
2024-08-15 17:00:00,3.533333333333333,7.1
2024-08-15 18:00:00,4.733333333333333,6.4
2024-08-16 11:00:00,6.3,3.8
2024-08-16 12:00:00,7.966666666666667,7.3
2024-08-16 16:00:00,5.633333333333334,7.4
2024-08-16 17:00:00,6.9,5.0
2024-08-16 18:00:00,3.8125,4.3
2024-08-18 12:00:00,5.176470588235294,5.8
2024-08-18 13:00:00,7.7,11.0
2024-08-18 14:00:00,7.85,3.9
2024-08-18 15:00:00,7.8,3.4
2024-08-18 16:00:00,7.55,5.0
2024-08-18 17:00:00,7.933333333333334,11.2
2024-08-19 10:00:00,15.83673469387755,10.8
2024-08-19 11:00:00,18.338983050847457,14.8
2024-08-19 14:00:00,24.1,21.9
2024-08-20 10:00:00,3.0,1.1
2024-08-20 11:00:00,1.9333333333333331,4.0
2024-08-20 12:00:00,2.1,5.9
2024-08-20 13:00:00,5.25,1.2
2024-08-21 10:00:00,1.7777777777777777,4.0
2024-08-21 11:00:00,1.2666666666666666,0.0
2024-08-21 12:00:00,1.3666666666666667,3.8
2024-08-21 13:00:00,0.75,5.3
2024-08-21 14:00:00,1.0166666666666666,6.3
2024-08-21 15:00:00,1.65,4.4
2024-08-21 16:00:00,1.2333333333333334,4.3
2024-08-21 17:00:00,1.0,2.0
2024-08-21 18:00:00,4.9491525423728815,5.9
2024-08-21 19:00:00,7.133333333333334,6.3
2024-08-21 20:00:00,6.56,6.1
2024-08-22 10:00:00,7.882352941176471,9.5
2024-08-22 11:00:00,8.6,5.2
2024-08-22 12:00:00,7.25,2.7
2024-08-22 13:00:00,8.7,7.8
2024-08-22 14:00:00,7.9,4.4
2024-08-22 15:00:00,9.733333333333333,4.7
2024-08-22 17:00:00,9.033333333333331,6.3
2024-08-22 18:00:00,6.983333333333333,4.5
2024-08-22 19:00:00,10.8125,9.0
