End Date,End Time,PM10,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,NV10,Status/units,NV25,Status/units,PM25,Status/units,V10,Status/units,V25,Status/units
14-08-2024,01:00:00,8,P ugm-3 (TEOM FDMS),1.48844,P ugm-3,10.39763,P ugm-3,12.67988,P ugm-3,5.2,P ugm-3 (TEOM FDMS),3.6,P ugm-3 (TEOM FDMS),4.1,P ugm-3 (TEOM FDMS),2.8,P ugm-3 (TEOM FDMS),0.4,P ugm-3 (TEOM FDMS)
14-08-2024,02:00:00,11.4,P ugm-3 (TEOM FDMS),0.98952,P ugm-3,9.843,P ugm-3,11.36025,P ugm-3,8.1,P ugm-3 (TEOM FDMS),4.8,P ugm-3 (TEOM FDMS),5.2,P ugm-3 (TEOM FDMS),3.3,P ugm-3 (TEOM FDMS),0.4,P ugm-3 (TEOM FDMS)
14-08-2024,03:00:00,12.5,P ugm-3 (TEOM FDMS),0.50516,P ugm-3,11.73319,P ugm-3,12.50775,P ugm-3,8.1,P ugm-3 (TEOM FDMS),4.9,P ugm-3 (TEOM FDMS),6.2,P ugm-3 (TEOM FDMS),4.4,P ugm-3 (TEOM FDMS),1.3,P ugm-3 (TEOM FDMS)
14-08-2024,04:00:00,13.1,P ugm-3 (TEOM FDMS),1.20676,P ugm-3,13.03847,P ugm-3,14.88881,P ugm-3,9.7,P ugm-3 (TEOM FDMS),5.6,P ugm-3 (TEOM FDMS),5.7,P ugm-3 (TEOM FDMS),3.4,P ugm-3 (TEOM FDMS),0.1,P ugm-3 (TEOM FDMS)
14-08-2024,05:00:00,14.5,P ugm-3 (TEOM FDMS),10.84216,P ugm-3,18.666,P ugm-3,35.29041,P ugm-3,12.6,P ugm-3 (TEOM FDMS),5.1,P ugm-3 (TEOM FDMS),4.1,P ugm-3 (TEOM FDMS),1.9,P ugm-3 (TEOM FDMS),-1,P ugm-3 (TEOM FDMS)
14-08-2024,06:00:00,14.8,P ugm-3 (TEOM FDMS),9.54185,P ugm-3,22.32366,P ugm-3,36.95428,P ugm-3,12.7,P ugm-3 (TEOM FDMS),7.4,P ugm-3 (TEOM FDMS),6.5,P ugm-3 (TEOM FDMS),2.1,P ugm-3 (TEOM FDMS),-0.9,P ugm-3 (TEOM FDMS)
14-08-2024,07:00:00,12,P ugm-3 (TEOM FDMS),19.00262,P ugm-3,23.70544,P ugm-3,52.84238,P ugm-3,10.9,P ugm-3 (TEOM FDMS),7,P ugm-3 (TEOM FDMS),4.8,P ugm-3 (TEOM FDMS),1.1,P ugm-3 (TEOM FDMS),-2.2,P ugm-3 (TEOM FDMS)
14-08-2024,08:00:00,11.7,P ugm-3 (TEOM FDMS),25.47922,P ugm-3,23.74847,P ugm-3,62.81606,P ugm-3,10.7,P ugm-3 (TEOM FDMS),6,P ugm-3 (TEOM FDMS),3.8,P ugm-3 (TEOM FDMS),0.9,P ugm-3 (TEOM FDMS),-2.2,P ugm-3 (TEOM FDMS)
14-08-2024,09:00:00,13.1,P ugm-3 (TEOM FDMS),27.19738,P ugm-3,21.86944,P ugm-3,63.5715,P ugm-3,9.1,P ugm-3 (TEOM FDMS),4.7,P ugm-3 (TEOM FDMS),4.6,P ugm-3 (TEOM FDMS),4,P ugm-3 (TEOM FDMS),0,P ugm-3 (TEOM FDMS)
14-08-2024,10:00:00,21.1,P ugm-3 (TEOM FDMS),27.95511,P ugm-3,25.66097,P ugm-3,68.52488,P ugm-3,16.3,P ugm-3 (TEOM FDMS),5.9,P ugm-3 (TEOM FDMS),6.4,P ugm-3 (TEOM FDMS),4.8,P ugm-3 (TEOM FDMS),0.5,P ugm-3 (TEOM FDMS)
14-08-2024,11:00:00,15.3,P ugm-3 (TEOM FDMS),26.03427,P ugm-3,23.44247,P ugm-3,63.36113,P ugm-3,11.3,P ugm-3 (TEOM FDMS),4.9,P ugm-3 (TEOM FDMS),4.8,P ugm-3 (TEOM FDMS),3.9,P ugm-3 (TEOM FDMS),-0.1,P ugm-3 (TEOM FDMS)
14-08-2024,12:00:00,20,P ugm-3 (TEOM FDMS),18.13574,P ugm-3,25.13981,P ugm-3,52.94756,P ugm-3,13.8,P ugm-3 (TEOM FDMS),7.2,P ugm-3 (TEOM FDMS),9.3,P ugm-3 (TEOM FDMS),6.2,P ugm-3 (TEOM FDMS),2.1,P ugm-3 (TEOM FDMS)
14-08-2024,13:00:00,14.3,P ugm-3 (TEOM FDMS),11.86494,P ugm-3,19.01503,P ugm-3,37.20769,P ugm-3,9.2,P ugm-3 (TEOM FDMS),3.3,P ugm-3 (TEOM FDMS),4.4,P ugm-3 (TEOM FDMS),5.1,P ugm-3 (TEOM FDMS),1.1,P ugm-3 (TEOM FDMS)
14-08-2024,14:00:00,12.2,P ugm-3 (TEOM FDMS),10.67065,P ugm-3,18.82378,P ugm-3,35.18522,P ugm-3,9.3,P ugm-3 (TEOM FDMS),4.6,P ugm-3 (TEOM FDMS),4.6,P ugm-3 (TEOM FDMS),2.9,P ugm-3 (TEOM FDMS),0,P ugm-3 (TEOM FDMS)
14-08-2024,15:00:00,14.1,P ugm-3 (TEOM FDMS),17.48715,P ugm-3,21.88378,P ugm-3,48.69703,P ugm-3,10.9,P ugm-3 (TEOM FDMS),5.4,P ugm-3 (TEOM FDMS),5.6,P ugm-3 (TEOM FDMS),3.2,P ugm-3 (TEOM FDMS),0.2,P ugm-3 (TEOM FDMS)
14-08-2024,16:00:00,15.3,P ugm-3 (TEOM FDMS),19.99422,P ugm-3,27.69778,P ugm-3,58.35516,P ugm-3,10.5,P ugm-3 (TEOM FDMS),3.9,P ugm-3 (TEOM FDMS),5,P ugm-3 (TEOM FDMS),4.8,P ugm-3 (TEOM FDMS),1,P ugm-3 (TEOM FDMS)
14-08-2024,17:00:00,15.1,P ugm-3 (TEOM FDMS),8.81841,P ugm-3,18.76163,P ugm-3,32.283,P ugm-3,10.1,P ugm-3 (TEOM FDMS),3.3,P ugm-3 (TEOM FDMS),4.2,P ugm-3 (TEOM FDMS),5,P ugm-3 (TEOM FDMS),0.9,P ugm-3 (TEOM FDMS)
14-08-2024,18:00:00,19,P ugm-3 (TEOM FDMS),12.15806,P ugm-3,26.11519,P ugm-3,44.75728,P ugm-3,13.3,P ugm-3 (TEOM FDMS),5.3,P ugm-3 (TEOM FDMS),7.4,P ugm-3 (TEOM FDMS),5.7,P ugm-3 (TEOM FDMS),2.1,P ugm-3 (TEOM FDMS)
14-08-2024,19:00:00,18.3,P ugm-3 (TEOM FDMS),5.35404,P ugm-3,16.71047,P ugm-3,24.91988,P ugm-3,15.1,P ugm-3 (TEOM FDMS),7.1,P ugm-3 (TEOM FDMS),7.6,P ugm-3 (TEOM FDMS),3.2,P ugm-3 (TEOM FDMS),0.5,P ugm-3 (TEOM FDMS)
14-08-2024,20:00:00,18.7,P ugm-3 (TEOM FDMS),1.71504,P ugm-3,15.01313,P ugm-3,17.64281,P ugm-3,15.6,P ugm-3 (TEOM FDMS),6.9,P ugm-3 (TEOM FDMS),7.3,P ugm-3 (TEOM FDMS),3.1,P ugm-3 (TEOM FDMS),0.4,P ugm-3 (TEOM FDMS)
14-08-2024,21:00:00,14.1,P ugm-3 (TEOM FDMS),6.03693,P ugm-3,15.74944,P ugm-3,25.00594,P ugm-3,12.4,P ugm-3 (TEOM FDMS),4.3,P ugm-3 (TEOM FDMS),3.5,P ugm-3 (TEOM FDMS),1.7,P ugm-3 (TEOM FDMS),-0.8,P ugm-3 (TEOM FDMS)
14-08-2024,22:00:00,17.8,P ugm-3 (TEOM FDMS),8.89949,P ugm-3,18.29306,P ugm-3,31.93875,P ugm-3,15.4,P ugm-3 (TEOM FDMS),6.6,P ugm-3 (TEOM FDMS),5.3,P ugm-3 (TEOM FDMS),2.3,P ugm-3 (TEOM FDMS),-1.3,P ugm-3 (TEOM FDMS)
14-08-2024,23:00:00,19.2,P ugm-3 (TEOM FDMS),3.5205,P ugm-3,10.07888,P ugm-3,15.47691,P ugm-3,14.3,P ugm-3 (TEOM FDMS),8.6,P ugm-3 (TEOM FDMS),9.7,P ugm-3 (TEOM FDMS),4.9,P ugm-3 (TEOM FDMS),1.1,P ugm-3 (TEOM FDMS)
14-08-2024,24:00:00,15.8,P ugm-3 (TEOM FDMS),2.01751,P ugm-3,11.08294,P ugm-3,14.17641,P ugm-3,11.7,P ugm-3 (TEOM FDMS),8.5,P ugm-3 (TEOM FDMS),8.7,P ugm-3 (TEOM FDMS),4.1,P ugm-3 (TEOM FDMS),0.3,P ugm-3 (TEOM FDMS)
15-08-2024,01:00:00,14,P ugm-3 (TEOM FDMS),2.97273,P ugm-3,11.22638,P ugm-3,15.7845,P ugm-3,7.5,P ugm-3 (TEOM FDMS),7.9,P ugm-3 (TEOM FDMS),10.7,P ugm-3 (TEOM FDMS),6.5,P ugm-3 (TEOM FDMS),2.8,P ugm-3 (TEOM FDMS)
