Date,Time,PM2.5_µg/m³_combustion_particles_organic_compounds_metals_sensor,PM2.5_mg/m³_aeroequal,PM2.5_µg/m³_council,PM10_µg/m³_dust_pollen_mould_spores_sensor,PM10_mg/m³_aeroequal,PM10_µg/m³_council,NO2_ppb_sensor,NO2_ppm_aeroequal,NO2_µg/m³_council,Wind_value_km/h,PM1.0_µg/m³_ultrafine_particles_sensor,PM1.0_µg/m³_atmos_env,PM2.5_µg/m³_atmos_env,PM10_µg/m³_atmos_env,GT_0.3um_in_0.1l_air,GT_0.5um_in_0.1l_air,GT_1.0um_in_0.1l_air,GT_2.5um_in_0.1l_air,GT_5.0um_in_0.1l_air,GT_10um_in_0.1l_air,CO2_in_ppm,Temperature_in_c,Relative_humidity,NO2_µg/m³_sensor,Temp_value_°c,NO_µg/m³_council,NOx_as_NO2_µg/m³_council,NV10_µg/m³_council,NV2.5_µg/m³_council,V10_µg/m³_council,V2.5_µg/m³_council
2024-08-15,15:00:00,4.483333333333333,0.0005666666666666667,4.8,5.833333333333333,0.001983333333333333,17.0,2.6580023136363633,0.0,10.53788,0.1425531914893617,2.7333333333333334,2.7333333333333334,4.483333333333333,5.833333333333333,630.55,184.93333333333334,34.05,3.6333333333333333,1.9666666666666666,1.3333333333333333,375.71299999999997,27.018833333333337,54.91366666666667,5.083429672727273,25.742553191489364,11.95849,28.87397,14.0,4.6,3.0,0.2
2024-08-15,16:00:00,4.766666666666667,0.0007333333333333333,3.8,4.766666666666667,0.0028,14.8,-0.23761294615384615,0.0,14.91272,0.13333333333333333,3.5166666666666666,3.5166666666666666,4.766666666666667,4.766666666666667,670.35,194.28333333333333,32.28333333333333,1.2,0.0,0.0,356.4521666666667,27.699833333333334,53.3165,-0.45443475,26.128333333333334,14.86782,37.70972,14.1,5.7,0.7,-1.9
2024-08-15,17:00:00,3.533333333333333,0.0006333333333333333,7.1,3.816666666666667,0.0011,18.1,-1.0237631527272726,0.0018166666666666667,15.33347,0.014999999999999998,2.1,2.1,3.533333333333333,3.816666666666667,531.75,159.31666666666666,31.366666666666667,1.3666666666666667,0.4666666666666667,0.4666666666666667,374.8081666666667,26.916166666666665,56.21816666666667,-1.9579470272727273,25.275,15.37609,38.90981,14.0,8.0,4.1,-0.9
2024-08-15,18:00:00,4.733333333333333,0.0005666666666666667,6.4,6.083333333333333,0.00125,14.4,-0.10377985272727275,0.004583333333333333,10.6335,0.016666666666666666,3.6666666666666665,3.6666666666666665,4.733333333333333,6.083333333333333,703.55,207.5,33.31666666666667,2.1333333333333333,1.9,1.5333333333333334,390.9218333333334,26.433833333333332,58.533,-0.1984789490909091,24.801666666666666,13.37417,31.14028,7.4,3.9,7.0,2.4
2024-08-15,19:00:00,4.7894736842105265,0.0006190476190476191,-1.0,6.105263157894737,0.0018571428571428571,0.3,-0.9019247294117647,0.0036666666666666666,11.322,0.02727272727272727,3.6315789473684212,3.6315789473684212,4.7894736842105265,6.105263157894737,726.1578947368421,216.47368421052633,36.73684210526316,2.0,2.0,0.0,390.2910526315789,26.076315789473682,60.25473684210526,-1.724931076470588,24.563636363636363,10.18732,26.94234,2.8,1.2,-2.5,-2.2
2024-08-16,11:00:00,6.3,0.0007777777777777778,3.8,6.8,0.005555555555555556,8.3,-2.0948413333333336,0.010666666666666666,10.11713,0.0,3.5,3.5,6.3,6.8,613.5,199.8,62.0,4.2,0.6,0.6,1503.5639999999999,26.569,64.009,-4.006384066666667,23.7,11.88365,28.33847,4.7,2.8,3.6,1.0
2024-08-16,12:00:00,7.966666666666667,0.0003333333333333333,7.3,9.316666666666666,0.0008166666666666667,12.5,-3.9768163763636366,0.0,16.30884,0.10714285714285714,3.4833333333333334,3.4833333333333334,7.966666666666667,9.316666666666666,763.15,230.53333333333333,61.9,13.466666666666667,1.5333333333333334,1.5333333333333334,542.0001666666666,26.11433333333333,51.458999999999996,-7.605661407272728,22.842857142857145,13.63299,37.21247,9.7,7.0,2.8,0.3
2024-08-16,16:00:00,5.633333333333334,0.00045,7.4,8.25,0.00185,13.2,-2.5199684436363636,0.0,18.59428,0.0,2.4,2.4,5.633333333333334,8.25,648.7,194.4,49.53333333333333,7.066666666666666,3.433333333333333,3.433333333333333,462.57783333333333,28.09466666666667,42.227666666666664,-4.819439692727272,25.22,14.41255,40.69322,12.6,7.2,0.6,0.2
2024-08-16,17:00:00,6.9,0.00035,5.0,9.483333333333333,0.00215,11.5,-2.3854787345454542,0.0,22.33322,0.0,3.3666666666666667,3.3666666666666667,6.9,9.483333333333333,763.45,217.78333333333333,48.85,10.933333333333334,3.3333333333333335,3.3333333333333335,492.0068333333333,28.396666666666665,41.735,-4.562228129090909,25.771666666666665,16.05275,46.94709,13.7,7.8,-2.3,-2.8
2024-08-16,18:00:00,3.8125,0.00021212121212121213,4.3,6.625,0.00048484848484848484,10.4,-2.02485239,0.0,28.12809,0.0,2.6875,2.6875,3.8125,6.625,566.15625,172.15625,26.0625,6.75,3.3125,3.3125,490.570625,28.4534375,41.0071875,-3.872530236666667,26.621875,17.78338,55.39556,9.9,5.4,0.5,-1.1
