Date,Time,NO2 ppb,NO2 µg/m³
15-08-2024,14:33:05,0.2164619,0.4139834
15-08-2024,14:34:11,-0.239692,-0.4584109
15-08-2024,14:35:16,0.0710955,0.1359701
15-08-2024,14:36:21,0.9726814,1.8602533
15-08-2024,14:37:27,0.0961018,0.1837946
15-08-2024,14:38:32,0.1209764,0.2313674
15-08-2024,14:39:37,-0.1199979,-0.2294959
15-08-2024,14:40:43,0.1188865,0.2273704
15-08-2024,14:41:48,0.5170139,0.9887891
15-08-2024,14:42:54,0.3883942,0.742804
15-08-2024,14:43:59,1.1147177,2.1318977
15-08-2024,14:45:04,1.1043113,2.1119955
15-08-2024,14:46:10,0.9497916,1.8164764
15-08-2024,14:47:15,0.8755135,1.6744195
15-08-2024,14:48:21,0.8043595,1.5383377
15-08-2024,14:49:26,0.6827857,1.3058276
15-08-2024,14:50:32,0.9411072,1.7998675
15-08-2024,14:51:37,1.088695,2.0821292
15-08-2024,14:52:42,0.5503585,1.0525606
15-08-2024,14:53:48,1.0554338,2.018517
15-08-2024,14:54:53,1.0579269,2.0232852
15-08-2024,14:55:59,1.0821707,2.0696516
15-08-2024,14:57:04,0.7254238,1.387373
15-08-2024,14:58:10,3.1042421,5.9368629
15-08-2024,14:59:15,1.3078574,2.5012772
15-08-2024,15:00:20,1.2650529,2.4194138
15-08-2024,15:01:26,1.2890249,2.4652603
15-08-2024,15:02:31,1.4788522,2.8283048
15-08-2024,15:03:37,1.5286717,2.9235847
15-08-2024,15:04:42,1.5979942,3.056164
15-08-2024,15:05:47,1.5091909,2.8863277
15-08-2024,15:06:53,0.6212757,1.1881899
15-08-2024,15:07:58,-4.8869061,-9.3462086
15-08-2024,15:09:04,3.4152136,6.5315962
15-08-2024,15:10:09,3.1020687,5.9327064
15-08-2024,15:11:15,3.117913,5.9630089
15-08-2024,15:12:20,3.3096724,6.3297486
15-08-2024,15:13:25,3.6818821,7.0415998
15-08-2024,15:14:31,4.7676911,9.1182098
15-08-2024,15:15:36,6.4977989,12.4270415
15-08-2024,15:16:42,7.7986994,14.9150124
15-08-2024,15:17:47,6.7137017,12.8399551
15-08-2024,15:18:53,7.6748257,14.6781054
15-08-2024,15:19:58,8.0371199,15.3709927
15-08-2024,15:21:03,8.3825045,16.0315409
15-08-2024,15:22:09,7.3635116,14.0827169
15-08-2024,15:23:14,12.7582443,24.4001436
15-08-2024,15:24:20,7.3606811,14.0773034
15-08-2024,15:25:25,5.5160151,10.5493796
15-08-2024,15:26:31,6.1755571,11.8107533
15-08-2024,15:27:36,5.5824108,10.6763613
15-08-2024,15:28:41,5.0452967,9.6491299
15-08-2024,15:29:47,4.0999637,7.8411808
15-08-2024,15:30:52,3.2652905,6.2448683
15-08-2024,15:31:58,4.1861949,8.0060978
15-08-2024,15:33:03,3.1221018,5.9710197
15-08-2024,15:40:05,-0.3149112,-0.6022677
15-08-2024,15:41:11,-0.3987414,-0.7625928
15-08-2024,15:42:16,-2.6794276,-5.1244054
15-08-2024,15:43:22,-2.381943,-4.5554662
15-08-2024,15:44:27,-1.1399055,-2.1800692
15-08-2024,15:45:33,-1.7087779,-3.2680378
15-08-2024,15:46:38,-1.5654709,-2.9939632
15-08-2024,15:47:43,-1.8339711,-3.5074699
15-08-2024,15:48:49,-1.3399814,-2.5627146
15-08-2024,15:49:54,-1.4055927,-2.6881959
15-08-2024,15:51:00,-1.1911229,-2.2780225
15-08-2024,15:52:05,-1.3050507,-2.4959095
15-08-2024,15:53:11,-1.1605169,-2.2194886
15-08-2024,16:32:06,0.0450391,0.0861373
15-08-2024,16:33:11,-0.0210672,-0.0402909
15-08-2024,16:34:17,0.1514173,0.2895856
15-08-2024,16:35:22,-0.0780508,-0.1492722
15-08-2024,16:36:27,-0.1815854,-0.3472821
15-08-2024,16:37:33,-0.3221538,-0.616119
15-08-2024,16:38:38,-0.3776695,-0.722293
