Date Time,PM10_ugm-3,PM2.5_ugm-3
22-03-2023 19:06,23,11
22-03-2023 19:07,20,10
22-03-2023 19:09,20,11
22-03-2023 19:12,19,11
22-03-2023 19:13,17,10
22-03-2023 19:14,17,10
22-03-2023 19:15,18,11
23-03-2023 12:04,32,7
23-03-2023 12:05,31,7
23-03-2023 12:06,28,7
23-03-2023 12:07,30,7
23-03-2023 12:08,30,7
23-03-2023 12:09,29,7
23-03-2023 12:10,31,8
23-03-2023 12:11,44,8
23-03-2023 12:12,46,8
23-03-2023 12:13,30,8
23-03-2023 12:14,33,7
23-03-2023 12:15,42,7
23-03-2023 12:16,48,9
23-03-2023 12:17,31,7
23-03-2023 12:18,29,6
23-03-2023 12:19,30,7
23-03-2023 12:20,36,8
23-03-2023 12:21,48,7
23-03-2023 12:22,22,6
23-03-2023 12:23,29,7
23-03-2023 12:24,23,6
23-03-2023 12:25,35,7
23-03-2023 12:27,30,9
23-03-2023 12:28,34,8
23-03-2023 12:29,49,9
23-03-2023 12:30,35,9
23-03-2023 12:31,70,10
23-03-2023 12:32,41,9
23-03-2023 12:33,38,11
23-03-2023 12:34,52,10
23-03-2023 12:35,38,11
23-03-2023 12:36,55,10
23-03-2023 12:37,38,9
23-03-2023 12:38,42,9
23-03-2023 12:39,41,9
23-03-2023 12:40,57,13
23-03-2023 12:41,46,12
23-03-2023 12:42,38,9
23-03-2023 12:43,42,11
23-03-2023 12:44,37,9
23-03-2023 12:45,52,16
23-03-2023 12:46,102,36
23-03-2023 12:47,78,12
23-03-2023 12:48,47,11
23-03-2023 12:49,85,13
23-03-2023 12:50,75,11
23-03-2023 12:51,58,10
23-03-2023 12:52,53,11
23-03-2023 12:53,79,12
23-03-2023 12:54,63,11
23-03-2023 12:55,55,11
23-03-2023 12:56,40,9
23-03-2023 12:57,40,10
23-03-2023 12:58,92,13
23-03-2023 12:59,54,11
23-03-2023 13:00,61,11
23-03-2023 13:01,40,8
23-03-2023 13:02,39,11
23-03-2023 13:03,42,9
23-03-2023 13:04,31,9
23-03-2023 13:05,48,12
23-03-2023 13:06,65,11
23-03-2023 13:07,67,12
23-03-2023 13:08,39,10
23-03-2023 13:09,43,9
23-03-2023 13:10,74,12
23-03-2023 13:11,55,9
23-03-2023 13:12,82,11
23-03-2023 13:13,55,12
23-03-2023 13:14,53,13
23-03-2023 13:15,39,10
23-03-2023 13:16,49,10
23-03-2023 13:17,68,11
23-03-2023 13:18,62,13
23-03-2023 13:19,93,15
23-03-2023 13:20,49,9
23-03-2023 13:21,42,12
23-03-2023 13:22,51,11
23-03-2023 13:23,48,11
23-03-2023 13:24,52,13
23-03-2023 13:25,71,14
23-03-2023 13:26,49,13
23-03-2023 13:27,63,15
23-03-2023 13:28,77,13
23-03-2023 13:29,48,11
23-03-2023 13:30,46,10
23-03-2023 13:31,67,12
23-03-2023 13:32,72,13
23-03-2023 13:33,80,12
23-03-2023 13:34,71,12
23-03-2023 13:35,48,11
23-03-2023 13:36,55,13
23-03-2023 13:37,64,12
23-03-2023 13:38,131,16
23-03-2023 13:39,54,12
23-03-2023 13:40,53,12
23-03-2023 13:41,45,11
23-03-2023 13:42,55,12
23-03-2023 13:43,56,13
23-03-2023 13:44,58,12
23-03-2023 13:45,52,12
23-03-2023 13:46,57,12
23-03-2023 13:47,46,11
23-03-2023 13:48,57,12
23-03-2023 13:49,172,52
23-03-2023 13:50,89,47
23-03-2023 13:51,68,14
23-03-2023 13:52,55,13
23-03-2023 13:53,68,12
23-03-2023 13:54,44,11
23-03-2023 13:55,59,13
23-03-2023 13:56,48,11
23-03-2023 13:57,51,11
23-03-2023 13:58,70,11
23-03-2023 13:59,58,12
23-03-2023 14:00,51,11
23-03-2023 14:01,52,12
23-03-2023 14:02,55,12
23-03-2023 14:03,73,12
23-03-2023 14:04,60,13
23-03-2023 14:05,68,12
23-03-2023 14:06,133,18
23-03-2023 14:07,47,11
23-03-2023 14:08,66,13
23-03-2023 14:09,67,12
23-03-2023 14:10,52,12
25-03-2023 09:47,7,1
25-03-2023 09:48,19,1
25-03-2023 09:49,4,1
25-03-2023 09:50,6,1
25-03-2023 09:51,12,2
25-03-2023 09:52,10,1
25-03-2023 09:53,14,2
25-03-2023 09:54,7,1
25-03-2023 09:55,13,2
25-03-2023 09:56,21,2
25-03-2023 09:57,26,2
25-03-2023 09:58,13,2
25-03-2023 09:59,9,2
25-03-2023 10:00,6,1
25-03-2023 10:01,5,1
25-03-2023 10:02,10,1
25-03-2023 10:03,11,2
25-03-2023 10:04,11,2
25-03-2023 10:05,10,2
25-03-2023 10:06,100,89
25-03-2023 10:07,12,2
25-03-2023 10:08,52,5
25-03-2023 10:09,7,1
25-03-2023 10:10,8,1
25-03-2023 10:11,9,2
25-03-2023 10:12,7,2
25-03-2023 10:13,8,2
25-03-2023 10:14,16,2
25-03-2023 10:15,15,3
25-03-2023 10:16,10,2
25-03-2023 10:17,18,3
25-03-2023 10:18,8,2
25-03-2023 10:19,14,3
25-03-2023 10:20,15,2
25-03-2023 10:21,10,2
25-03-2023 10:22,7,1
25-03-2023 10:23,20,13
25-03-2023 10:24,50,3
25-03-2023 10:25,8,1
25-03-2023 10:26,30,2
25-03-2023 10:27,64,5
25-03-2023 10:28,19,2
25-03-2023 10:29,9,1
25-03-2023 10:30,7,2
25-03-2023 10:31,12,2
25-03-2023 10:32,10,2
25-03-2023 10:33,18,2
25-03-2023 10:34,14,2
25-03-2023 10:35,10,2
25-03-2023 10:36,5,2
25-03-2023 10:37,15,2
25-03-2023 10:38,14,2
25-03-2023 10:39,22,3
25-03-2023 10:40,25,2
25-03-2023 10:41,15,2
25-03-2023 10:42,27,1
25-03-2023 10:43,8,1
25-03-2023 10:44,7,2
25-03-2023 10:45,9,2
25-03-2023 10:46,19,3
25-03-2023 10:47,7,2
25-03-2023 10:48,11,2
25-03-2023 10:49,7,2
25-03-2023 10:50,10,2
25-03-2023 10:51,14,2
25-03-2023 10:52,11,2
25-03-2023 10:53,6,1
25-03-2023 10:54,7,1
25-03-2023 10:55,9,2
25-03-2023 10:56,9,2
25-03-2023 10:57,26,3
25-03-2023 10:58,9,2
25-03-2023 10:59,11,2
25-03-2023 11:00,11,2
25-03-2023 11:01,10,1
25-03-2023 11:02,8,2
25-03-2023 11:03,13,2
25-03-2023 11:04,12,2
25-03-2023 11:05,4,1
25-03-2023 11:06,31,2
25-03-2023 11:07,6,1
25-03-2023 11:08,7,2
25-03-2023 11:09,9,2
25-03-2023 11:10,9,2
25-03-2023 11:11,11,2
25-03-2023 11:12,7,1
25-03-2023 11:13,15,3
25-03-2023 11:14,9,2
25-03-2023 11:15,16,2
25-03-2023 11:16,15,2
25-03-2023 11:17,16,3
25-03-2023 11:18,10,1
25-03-2023 11:19,9,2
25-03-2023 11:20,30,3
25-03-2023 11:21,10,2
25-03-2023 11:22,6,2
25-03-2023 11:23,8,2
25-03-2023 11:24,9,1
25-03-2023 11:25,7,2
25-03-2023 11:26,12,2
25-03-2023 11:27,8,2
25-03-2023 11:28,12,2
25-03-2023 11:29,7,2
25-03-2023 11:30,6,1
25-03-2023 11:31,4,2
25-03-2023 11:32,7,2
25-03-2023 11:33,10,2
25-03-2023 11:34,6,2
25-03-2023 11:35,11,2
25-03-2023 11:36,8,2
25-03-2023 11:37,7,2
25-03-2023 11:38,8,2
25-03-2023 11:39,10,2
25-03-2023 11:40,10,2
25-03-2023 11:41,7,2
25-03-2023 11:42,5,1
25-03-2023 11:43,5,1
25-03-2023 11:44,5,1
25-03-2023 11:45,9,2
25-03-2023 11:46,10,2
25-03-2023 11:47,9,2
25-03-2023 11:48,7,2
25-03-2023 11:49,7,2
25-03-2023 11:50,6,2
25-03-2023 11:51,6,2
25-03-2023 11:52,7,2
25-03-2023 11:53,7,2
25-03-2023 11:54,7,2
25-03-2023 11:55,8,1
25-03-2023 11:56,9,2
25-03-2023 11:57,6,2
26-03-2023 14:59,24,4
26-03-2023 15:00,20,4
26-03-2023 15:01,28,5
26-03-2023 15:02,19,4
26-03-2023 15:03,18,5
26-03-2023 15:04,17,4
26-03-2023 15:05,17,4
26-03-2023 15:06,29,4
26-03-2023 15:07,27,4
26-03-2023 15:08,17,4
26-03-2023 15:09,14,3
26-03-2023 15:10,12,3
26-03-2023 15:11,16,4
26-03-2023 15:12,15,4
26-03-2023 15:13,21,3
26-03-2023 15:14,20,3
26-03-2023 15:15,16,3
26-03-2023 15:16,21,4
26-03-2023 15:17,17,3
26-03-2023 15:18,17,4
26-03-2023 15:19,13,3
26-03-2023 15:20,14,4
26-03-2023 15:21,24,5
26-03-2023 15:22,22,4
26-03-2023 15:23,17,4
26-03-2023 15:24,21,4
26-03-2023 15:25,24,4
26-03-2023 15:26,23,5
26-03-2023 15:27,18,4
26-03-2023 15:28,19,4
26-03-2023 15:29,20,4
26-03-2023 15:30,22,5
26-03-2023 15:31,27,5
26-03-2023 15:32,18,4
26-03-2023 15:33,40,5
26-03-2023 15:34,14,3
26-03-2023 15:35,24,5
26-03-2023 15:36,22,4
26-03-2023 15:37,16,4
26-03-2023 15:38,19,5
26-03-2023 15:39,18,4
26-03-2023 15:40,17,4
26-03-2023 15:41,15,4
26-03-2023 15:42,17,3
26-03-2023 15:43,19,4
26-03-2023 15:44,20,4
26-03-2023 15:45,16,4
26-03-2023 15:46,26,4
26-03-2023 15:47,16,4
26-03-2023 15:48,18,4
26-03-2023 15:49,16,4
26-03-2023 15:50,17,4
26-03-2023 15:51,21,4
26-03-2023 15:52,13,4
26-03-2023 15:53,15,4
26-03-2023 15:54,21,4
26-03-2023 15:55,24,4
26-03-2023 15:56,12,3
26-03-2023 15:57,16,4
26-03-2023 15:58,20,4
26-03-2023 15:59,13,3
26-03-2023 16:00,11,2
26-03-2023 16:01,20,3
26-03-2023 16:02,13,3
26-03-2023 16:03,15,3
26-03-2023 16:04,16,3
26-03-2023 16:05,18,3
26-03-2023 16:06,14,3
26-03-2023 16:07,15,3
26-03-2023 16:08,17,3
26-03-2023 16:09,18,3
26-03-2023 16:10,17,3
26-03-2023 16:11,18,4
26-03-2023 16:12,17,4
26-03-2023 16:13,20,4
26-03-2023 16:14,19,4
26-03-2023 16:15,22,4
26-03-2023 16:16,16,4
26-03-2023 16:17,21,4
26-03-2023 16:18,14,3
26-03-2023 16:19,14,4
26-03-2023 16:20,11,2
26-03-2023 16:21,13,4
26-03-2023 16:22,14,3
26-03-2023 16:23,15,3
26-03-2023 16:24,12,3
